,cycle,b1c0,b1c11,b1c14,b1c15,b1c16,b1c17,b1c18,b1c19,b1c1,b1c20,b1c21,b1c23,b1c24,b1c25,b1c26,b1c27,b1c28,b1c29,b1c2,b1c30,b1c31,b1c32,b1c33,b1c34,b1c35,b1c36,b1c37,b1c38,b1c39,b1c40,b1c41,b1c42,b1c43,b1c44,b1c45,b1c4,b1c5,b1c6,b1c7,b1c9,b2c0,b2c10,b2c11,b2c12,b2c13,b2c14,b2c17,b2c18,b2c19,b2c1,b2c20,b2c21,b2c22,b2c23,b2c24,b2c25,b2c26,b2c27,b2c28,b2c29,b2c2,b2c30,b2c31,b2c32,b2c33,b2c34,b2c35,b2c36,b2c37,b2c38,b2c39,b2c3,b2c40,b2c41,b2c42,b2c43,b2c44,b2c45,b2c46,b2c47,b2c4,b2c5,b2c6,b3c0,b3c10,b3c11,b3c12,b3c13,b3c14,b3c15,b3c16,b3c17,b3c18,b3c19,b3c1,b3c20,b3c21,b3c22,b3c24,b3c25,b3c26,b3c27,b3c28,b3c29,b3c30,b3c31,b3c33,b3c34,b3c35,b3c36,b3c3,b3c40,b3c41,b3c42,b3c43,b3c44,b3c45,b3c4,b3c5,b3c6,b3c7,b3c8,b3c9
172,173,1.0700151,1.0569781,1.0737319,1.065051,1.0837775,1.0748327,1.054776,1.0825503,1.0790172,1.0424098,1.0641166,1.0799726,1.0743474,1.0753378,1.0866675,1.0783107,1.077379,1.0789188,1.0833941,1.0776141,1.091742,1.0761019,1.0900767,1.0768362,1.071893,1.0773959,1.0732421,1.0718414,1.0813894,1.083205,1.0797136,1.0804191,1.0651867,1.0810748,1.0820673,1.0805943,1.0770199,1.0732729,1.0921618,1.0855082,0.99519771,1.0548383,1.0591848,1.0397608,1.0561866,1.0741377,1.0655977,1.0453352,1.0172632,,1.079307,1.066558,1.0748845,1.0628453,1.0650507,1.0570824,1.0663012,1.0616366,1.0718511,1.0752425,1.0662078,1.0640763,1.0735624,1.0767084,1.0816227,1.0709755,1.0637211,1.0812378,1.0782285,1.06967,1.082208,1.009488,1.0710454,1.0679404,1.076926,1.0729836,1.0722541,1.0664116,1.0755279,1.0401218,1.0485165,1.0641072,1.0261799,1.0674649,1.0613502,1.0649679,1.0741224,1.0638926,1.0743185,1.0667354,1.0605981,1.0637771,1.0641965,1.0681007,1.0641267,1.0640982,1.042008,1.0548568,1.0475039,1.0622038,1.0721152,1.0598396,1.0165014,1.0664148,1.0686295,1.0673069,1.0581044,1.0586265,1.0604314,1.0544893,1.0614418,1.058735,1.0520669,1.0674084,1.0705936,1.071443,1.069653,1.0715992,1.0488093,1.0282551,1.0688026,1.0644544,1.0711153
173,174,1.063931,1.0569597,1.0737243,1.06505,1.0837107,1.0748107,1.054543,1.0824485,1.0788677,1.0424106,1.0639364,1.0799167,1.0755419,1.0752226,1.0867223,1.0783302,1.0774412,1.078923,1.0832393,1.0777006,1.0916229,1.0762187,1.0902193,1.0769055,1.0718408,1.0772827,1.0731498,1.0720692,1.0814945,1.0830646,1.0795653,1.0803875,1.0651098,1.0811677,1.0821867,1.0805851,1.0769491,1.0731374,1.0920869,1.0855664,0.99471825,1.0546657,1.0587252,1.0393057,1.0559926,1.0739887,1.0654392,1.0451323,1.0170084,,1.0790453,1.0659521,1.0746288,1.062817,1.0647193,1.0570203,1.0663857,1.0616287,1.0699358,1.0752823,1.0662565,1.0639541,1.0732752,1.0765537,1.0815548,1.0711101,1.0635478,1.0810421,1.0781599,1.0696585,1.0821469,1.0086919,1.070946,1.0672101,1.0768857,1.072973,1.0720688,1.0660402,1.0753657,1.0403796,1.0482316,1.0639105,1.0254803,1.0673282,1.0616772,1.064908,1.074142,1.0638092,1.0742711,1.066571,1.0605972,1.0636997,1.0642238,1.0680813,1.0641285,1.0641271,1.0418757,1.0547118,1.0474601,1.0622387,1.0720688,1.0597808,1.0162665,1.0663337,1.0685365,1.0672811,1.0581356,1.0585959,1.0604838,1.0542759,1.0612794,1.0587535,1.0520751,1.0674244,1.0707392,1.0714524,1.0693926,1.0716009,1.0486815,1.0282601,1.0688083,1.06443,1.0711468
174,175,1.0678086,1.0569324,1.0736483,1.0649922,1.0836667,1.0750164,1.0546153,1.0824383,1.0787734,1.042181,1.0637621,1.0798402,1.0753837,1.0751215,1.0842831,1.0783365,1.0773765,1.0788903,1.0831283,1.0777742,1.0917386,1.0762818,1.0903132,1.0756656,1.0717866,1.0772061,1.0730129,1.0721377,1.0815743,1.0828756,1.0793856,1.0802759,1.0650206,1.081267,1.0822904,1.0806869,1.0769196,1.0730331,1.0920404,1.0855224,0.99281865,1.0544158,1.0587391,1.0391296,1.0556622,1.0739206,1.0643251,1.0440381,1.0165782,,1.0790607,1.0656643,1.0745674,1.0622338,1.0648386,1.0564674,1.0663898,1.0610858,1.0716151,1.0747335,1.0652723,1.0637077,1.0733379,1.076636,1.0810653,1.0706034,1.0633868,1.0810794,1.0781364,1.0696359,1.0819217,1.0082946,1.0668135,1.0674992,1.0765818,1.0728018,1.0721918,1.0658085,1.0753331,1.0398753,1.0477724,1.0638846,1.0263506,1.0673171,1.0616053,1.0649184,1.0741236,1.0637711,1.0742253,1.0665329,1.0606105,1.0636292,1.0643052,1.0681626,1.0641686,1.0640614,1.041728,1.0546583,1.0474063,1.0621654,1.0719376,1.0596941,1.0161124,1.0662796,1.0685462,1.067191,1.0580378,1.0584997,1.0603017,1.0542732,1.0613391,1.0586431,1.0520878,1.0674373,1.0706981,1.0713545,1.0696263,1.0715241,1.0486851,1.0280071,1.0687827,1.0643121,1.0711886
175,176,1.0715845,1.056999,1.0736223,1.0649511,1.0836117,1.0751773,1.0542277,1.0825665,1.0787362,1.041798,1.0635396,1.0797304,1.0752697,1.0749023,1.0867273,1.0782611,1.0772343,1.0789036,1.083111,1.0778174,1.0918558,1.0763339,1.090363,1.0768206,1.0717295,1.0770324,1.0728111,1.0722405,1.0815488,1.0828385,1.0791914,1.0802019,1.0649281,1.0812852,1.0823858,1.0808342,1.0769154,1.0729426,1.0920384,1.0854498,0.99257553,1.0542229,1.058547,1.038885,1.0554599,1.0738138,1.0650586,1.0444854,1.0158523,,1.0786989,1.0656534,1.0745075,1.0622936,1.0644972,1.0564982,1.0659,1.0613059,1.0712116,1.0750289,1.0655897,1.0637478,1.0733372,1.0762542,1.0814478,1.0707487,1.0632101,1.0809125,1.0781691,1.0694506,1.0820341,1.0078267,1.0705194,1.0672385,1.0767345,1.0725617,1.0719625,1.0658097,1.075141,1.0399995,1.0475469,1.0636638,1.0254725,1.0672255,1.0616139,1.0648538,1.0741838,1.0636764,1.0742688,1.0665487,1.0607083,1.0636026,1.0642776,1.0682093,1.0640973,1.0639652,1.0415459,1.0545248,1.047351,1.0621263,1.0718759,1.0596861,1.01587,1.0662888,1.068436,1.067171,1.0580926,1.0584103,1.060348,1.05425,1.0612946,1.0585837,1.0521284,1.0674762,1.0705845,1.0713,1.069564,1.0714051,1.04877,1.0277317,1.0687144,1.0643559,1.0710977
176,177,1.0691391,1.057133,1.0735955,1.064885,1.0835733,1.0751847,1.0545654,1.0826182,1.0786883,1.0416793,1.0633357,1.0794812,1.0749146,1.0748825,1.0866199,1.078208,1.0771432,1.0787181,1.0830775,1.0765482,1.0918617,1.0763028,1.0903494,1.0767105,1.0716405,1.0767881,1.0725927,1.0720851,1.0814953,1.0828003,1.0791408,1.080085,1.0647568,1.0812193,1.0823841,1.0807801,1.0769109,1.0728089,1.0918688,1.0853806,0.99212366,1.0541116,1.0581212,1.0386469,1.0553193,1.0737134,1.0651898,1.0444064,1.0163777,,1.0783885,1.0654125,1.074417,1.0621862,1.0646813,1.0563142,1.0657545,1.0612334,1.0710002,1.0750264,1.065443,1.0636711,1.0730649,1.0762218,1.0814912,1.0706701,1.0630635,1.0808452,1.0780277,1.0693856,1.0820166,1.0071952,1.0694215,1.0665755,1.076764,1.0725021,1.0719641,1.0656298,1.0751034,1.0401051,1.0473335,1.0635109,1.0244652,1.0672516,1.0603682,1.0648339,1.0742213,1.063767,1.0741369,1.0665199,1.0608119,1.0635375,1.0641922,1.0681717,1.0640743,1.0640199,1.0413074,1.0544773,1.0473509,1.0619957,1.0717951,1.0595714,1.015714,1.0663092,1.0684495,1.0671048,1.0580423,1.0583864,1.0603324,1.0542198,1.0613953,1.0585959,1.0520815,1.0674185,1.0705929,1.0713664,1.0696621,1.0714113,1.0487593,1.0273286,1.0686394,1.0643637,1.0711297
177,178,1.07152,1.057125,1.0736083,1.0648921,1.0835289,1.0752635,1.0535039,1.0814284,1.0788336,1.0411737,1.0631467,1.0793033,1.0750329,1.0746763,1.086417,1.0781189,1.0768747,1.0786794,1.0831954,1.0777376,1.0906628,1.0762535,1.0902929,1.0766451,1.0714329,1.0754904,1.0724962,1.0719813,1.0814586,1.0827966,1.0790654,1.0798411,1.0645396,1.0811313,1.0823065,1.0807378,1.076969,1.0727191,1.0918808,1.0852655,0.99122465,1.0538967,1.0580688,1.0380776,1.0550567,1.0735008,1.0638919,1.0435727,1.0159782,,1.0782298,1.0652585,1.0742998,1.0619084,1.0646323,1.0559309,1.0652286,1.060609,1.0689268,1.0745828,1.0645622,1.0633271,1.0730962,1.0764586,1.0809318,1.070352,1.0628905,1.0808445,1.0779448,1.0691538,1.0816494,1.0062487,1.0645075,1.0669972,1.0762852,1.0724573,1.0719501,1.0656067,1.0751245,1.0396653,1.0469623,1.0634325,1.0247711,1.0671271,1.0615214,1.0647475,1.074071,1.0636784,1.0741444,1.0664753,1.0606881,1.0634418,1.0642042,1.0680709,1.0640876,1.0639557,1.0412374,1.054599,1.0473188,1.0620683,1.0717609,1.0595907,1.0142965,1.0662621,1.0684763,1.0672115,1.057974,1.0583125,1.0603551,1.0540698,1.0614631,1.0586042,1.0521051,1.0672967,1.0705141,1.0713426,1.0697629,1.0713426,1.0486274,1.0270866,1.0686538,1.0643976,1.0710839
178,179,1.0702096,1.0570842,1.0736431,1.0649354,1.0834997,1.0752072,1.0544393,1.0826172,1.0789465,1.0411444,1.0629525,1.0792279,1.0747234,1.0747268,1.0862387,1.077926,1.0767961,1.0783999,1.0833586,1.0776137,1.0918089,1.0761677,1.090184,1.0764498,1.0712956,1.0766605,1.0723896,1.0714765,1.0813338,1.0827338,1.079029,1.0797538,1.0644934,1.0810524,1.0822101,1.0805593,1.0771172,1.0726304,1.0918653,1.0849762,0.99103588,1.0536374,1.0579776,1.0380083,1.054844,1.0734012,1.0646838,1.0439538,1.0158772,,1.0781609,1.065104,1.0740963,1.0620011,1.0641911,1.055974,1.0651754,1.0608007,1.0701997,1.0747252,1.0649198,1.0633581,1.073032,1.0759771,1.0812243,1.0704368,1.0627153,1.0807563,1.0778354,1.0690937,1.081753,1.0056919,1.0673944,1.0670798,1.0762203,1.0722039,1.0717653,1.0654995,1.0750715,1.0396553,1.0468191,1.0632758,1.0235779,1.0670987,1.0614041,1.064541,1.0740932,1.0635858,1.0741106,1.0663799,1.0606742,1.0634581,1.0643107,1.0679971,1.0640359,1.0638956,1.0409969,1.0546695,1.0473895,1.0618374,1.0718378,1.0594765,1.0152383,1.0662286,1.0684134,1.067104,1.0580199,1.0583588,1.0604453,1.0540997,1.0612321,1.058533,1.0521038,1.0672919,1.0705512,1.0713042,1.0697362,1.0711974,1.0486926,1.0269355,1.0686648,1.0643235,1.0710977
179,180,1.0714779,1.0568938,1.0737971,1.0650613,1.0834877,1.075135,1.054322,1.0825385,1.0790043,1.0408792,1.0627486,1.079226,1.0748889,1.0744267,1.0861366,1.0778481,1.0767246,1.0783412,1.0833983,1.0775272,1.0917711,1.0760622,1.0900542,1.0762452,1.0711792,1.0766145,1.0723009,1.0718228,1.0812457,1.0826445,1.0789881,1.0797063,1.0644279,1.0809504,1.0821128,1.0803527,1.0771334,1.0725952,1.0918161,1.0850741,0.99027079,1.053566,1.0575356,1.0378292,1.0546839,1.0732137,1.0642097,1.0438107,1.0156411,,1.0781167,1.0647471,1.0740198,1.0619844,1.0638567,1.0560741,1.0651895,1.0606928,1.0678765,1.074721,1.0649852,1.0632064,1.0727047,1.0760926,1.0810388,1.0705063,1.0626869,1.0807213,1.077803,1.0691627,1.0816798,1.0049648,1.0698361,1.0662439,1.0761157,1.0722508,1.071637,1.0653528,1.0750822,1.0392284,1.046669,1.0632306,1.0234945,1.0670049,1.0614443,1.0646498,1.0739923,1.0634754,1.0740212,1.0663655,1.0605181,1.063403,1.0641893,1.0679725,1.0640604,1.0638179,1.0409079,1.0547036,1.0472722,1.0620047,1.0717336,1.0594726,1.0149827,1.0661055,1.0684035,1.0670077,1.0579853,1.0583515,1.0603819,1.0540843,1.0612277,1.0584251,1.0520451,1.0672944,1.0706824,1.0712341,1.0695621,1.0712783,1.0485724,1.0267844,1.0685594,1.0642642,1.0710927
180,181,1.073764,1.0567368,1.0738001,1.0651064,1.0835145,1.074977,1.0539849,1.0824263,1.0789995,1.0398917,1.0625483,1.0791731,1.0748268,1.0743312,1.0861394,1.0778061,1.0766398,1.0778887,1.083395,1.0773556,1.0916132,1.0758897,1.0898492,1.0761869,1.0710995,1.0765558,1.0722303,1.0716434,1.0809703,1.0825977,1.0789096,1.0796528,1.0643688,1.0806404,1.0819931,1.080411,1.0770476,1.0725442,1.0917704,1.084996,0.98911506,1.0533867,1.0574446,1.0373967,1.0544897,1.0731753,1.0639185,1.0434017,1.0155739,,1.0782659,1.0648326,1.0739561,1.0616534,1.0646156,1.0555893,1.0645024,1.060297,1.0708431,1.0745747,1.0643446,1.0630093,1.0728287,1.0760936,1.0809697,1.0701524,1.0625629,1.0807515,1.0778314,1.0689094,1.0815344,1.0042344,1.0680711,1.0664155,1.0761422,1.0722628,1.0717701,1.0653425,1.0749934,1.0392141,1.0463638,1.0633743,1.0231845,1.0671058,1.061357,1.0645461,1.0739583,1.0634769,1.0739328,1.0663053,1.0605646,1.0634497,1.0640601,1.0679404,1.0638806,1.063733,1.0407059,1.054714,1.0471822,1.0619549,1.0718436,1.0594604,1.0147676,1.066062,1.0682861,1.0669956,1.0580137,1.0583923,1.0603704,1.0541383,1.0612345,1.0583612,1.0519888,1.0672821,1.0703968,1.0712259,1.0695685,1.0712169,1.0484616,1.0267264,1.0684862,1.0641603,1.0709519
181,182,1.0734773,1.0566679,1.0737314,1.0650295,1.0835528,1.074861,1.054028,1.082285,1.0789684,1.040153,1.0623604,1.0791386,1.0747075,1.0743113,1.0860898,1.0777138,1.0766046,1.0782067,1.0833685,1.0771712,1.0914563,1.0756757,1.0895959,1.0761099,1.0710604,1.0764763,1.0721458,1.0715004,1.0808811,1.0825378,1.0788631,1.0795609,1.0643178,1.0805053,1.0817035,1.080351,1.0768631,1.0726471,1.0920669,1.0849603,0.98940724,1.0533918,1.0572165,1.0370886,1.0542845,1.0730489,1.0643245,1.0436747,1.0154158,,1.0779903,1.0647235,1.0737269,1.0617234,1.0641301,1.0556555,1.0646905,1.0604318,1.0706822,1.0747578,1.0647628,1.0629445,1.0728523,1.0756763,1.0812019,1.0701749,1.0624372,1.0805938,1.0777345,1.06901,1.0815419,1.00423,1.0666521,1.066162,1.0760286,1.0721486,1.0715905,1.0652322,1.0748681,1.0394249,1.0462366,1.0631315,1.0226307,1.0670257,1.0613261,1.0645055,1.0739439,1.0634252,1.0739079,1.0662946,1.0606152,1.0635036,1.0640756,1.0679069,1.063751,1.06373,1.0407521,1.0547819,1.0471691,1.0619434,1.0717726,1.0594977,1.0145904,1.0658832,1.0682433,1.0669345,1.0580744,1.0582697,1.0603116,1.0539956,1.0612197,1.0582926,1.051929,1.0673273,1.0704268,1.0712143,1.0696166,1.0711607,1.0485804,1.026381,1.0684825,1.0641485,1.0708616
182,183,1.0734123,1.0565971,1.0735786,1.0648996,1.083755,1.0745739,1.0537823,1.0820456,1.0788578,1.0399307,1.062165,1.0791112,1.0745378,1.0744554,1.0847104,1.0776435,1.0765396,1.0781622,1.0832517,1.0770885,1.0912983,1.0755635,1.0895275,1.0761199,1.0710299,1.0764208,1.0720719,1.0713775,1.0807987,1.082461,1.078812,1.079519,1.0642384,1.0804741,1.0815203,1.080507,1.0766847,1.0726438,1.0922952,1.0848938,0.98722905,1.0531883,1.0570378,1.0366731,1.0540423,1.0729859,1.0640992,1.043203,1.0152814,,1.0779419,1.0644648,1.0736599,1.0613844,1.064072,1.0555215,1.0648319,1.0604823,1.0694933,1.074641,1.0646964,1.0628837,1.0724746,1.0760909,1.0811858,1.0700352,1.0622443,1.0805063,1.0777421,1.0689319,1.081511,1.0036321,1.0659847,1.0660658,1.0760032,1.0720118,1.071475,1.0649661,1.0747054,1.0389127,1.045985,1.0630455,1.0221993,1.0669705,1.0613123,1.0644388,1.0739423,1.063392,1.0739135,1.0662768,1.0593871,1.063429,1.0639601,1.067822,1.0637343,1.0636261,1.0406239,1.0546542,1.0472021,1.0618708,1.0716325,1.0594862,1.0144027,1.065876,1.0682502,1.0668933,1.0580164,1.0582575,1.0603518,1.054057,1.0611669,1.0582296,1.051962,1.0671965,1.0705107,1.0711857,1.0695534,1.0711348,1.0481917,1.026212,1.0684261,1.0641233,1.0710137
183,184,1.0733159,1.056703,1.0733598,1.0647051,1.0837728,1.0745276,1.0534539,1.0818312,1.0787761,1.0389301,1.0619195,1.0790775,1.0746802,1.0744239,1.0859627,1.0776123,1.0765263,1.0781093,1.0831751,1.0770236,1.0899959,1.0755169,1.0894611,1.0760058,1.070969,1.0763284,1.0720845,1.0713453,1.0807102,1.0824199,1.0787709,1.0794246,1.0641731,1.0803717,1.0814575,1.0806159,1.0766228,1.0725701,1.0920612,1.0848663,0.98694479,1.0530354,1.056919,1.0364736,1.053794,1.0727775,1.0635287,1.0428959,1.0149692,,1.0775332,1.0645431,1.0735662,1.0612909,1.064154,1.0551705,1.0640593,1.0599643,1.0695707,1.0743666,1.0638424,1.0626167,1.0726061,1.0760468,1.0807748,1.0701002,1.0620962,1.0804689,1.0776157,1.0686324,1.0812455,1.0022691,1.0677359,1.0662329,1.0757321,1.0718449,1.0714527,1.0650942,1.0747136,1.0387404,1.0456084,1.0630535,1.02248,1.066855,1.0612357,1.0643761,1.0738648,1.063296,1.0738254,1.0662353,1.0605534,1.0634832,1.0639737,1.0678707,1.0637786,1.0636131,1.0404239,1.0546813,1.0470716,1.0619907,1.0716263,1.0592564,1.0141625,1.0658044,1.0681741,1.0666964,1.0579884,1.0582705,1.0603762,1.0540296,1.0609945,1.0581356,1.0519587,1.0671657,1.0704269,1.07121,1.0693504,1.0710542,1.0481446,1.0259576,1.0685272,1.0640481,1.0709612
184,185,1.0732638,1.0568118,1.0732868,1.0646505,1.0836456,1.0744613,1.05327,1.0817223,1.0785502,1.0393814,1.0618098,1.0789956,1.0746043,1.0743871,1.0858638,1.0775267,1.0763984,1.0780445,1.0829659,1.0769645,1.0911556,1.0754409,1.0893975,1.0759541,1.0709152,1.0762496,1.0719105,1.0713224,1.0806539,1.0824288,1.0787156,1.0793506,1.0641006,1.0803038,1.0813495,1.080678,1.0765494,1.072355,1.0918256,1.0848155,0.98683459,1.0527397,1.0566858,1.036293,1.0536978,1.0726391,1.063539,1.0428654,1.014951,,1.0775139,1.0641609,1.0732921,1.0614133,1.063583,1.0551931,1.0643075,1.060066,1.0705822,1.0744686,1.064206,1.0625013,1.0725143,1.0754986,1.0808535,1.0700686,1.0618938,1.0802486,1.0774778,1.068646,1.0812474,1.002596,1.0690522,1.0662937,1.0755248,1.07181,1.0712258,1.0648377,1.0746137,1.0387588,1.045499,1.0628067,1.0219536,1.0669116,1.0609206,1.0643204,1.0738778,1.0632561,1.0725595,1.0661325,1.0604346,1.0634204,1.0640395,1.0678095,1.0637324,1.063589,1.0403092,1.054646,1.0471128,1.0618107,1.0714613,1.0592679,1.013901,1.0658138,1.0680796,1.0666041,1.057972,1.0582589,1.0602479,1.0538259,1.0610576,1.0581068,1.0519178,1.0670512,1.0703341,1.0711266,1.0693763,1.0712457,1.0482057,1.0257797,1.0684881,1.0640535,1.0709515
185,186,1.0731385,1.0568588,1.0732418,1.0646039,1.0834854,1.0744121,1.0531338,1.0816408,1.0785975,1.0387372,1.0616955,1.078985,1.0745693,1.074356,1.0844769,1.0762336,1.0763805,1.0779934,1.0830148,1.0769054,1.0911013,1.0754088,1.0893379,1.0759052,1.0708702,1.0761962,1.071892,1.0712553,1.0805581,1.0824397,1.0787257,1.0792662,1.064045,1.0802526,1.081297,1.0806744,1.0766978,1.0721313,1.0915468,1.0847224,0.98467171,1.0526154,1.0564114,1.0358704,1.0521972,1.0726646,1.0631908,1.0419546,1.0146365,,1.0772715,1.0640368,1.0732899,1.0607018,1.0637239,1.0549916,1.0643411,1.0600631,1.0704582,1.074159,1.0639863,1.0623934,1.0721806,1.0757167,1.0807587,1.0700451,1.0617652,1.08024,1.077475,1.0686213,1.0811805,1.0011649,1.0688105,1.0656562,1.075569,1.0715407,1.0711675,1.0644847,1.0744708,1.0386386,1.0452098,1.0626693,1.0215698,1.0668204,1.0610553,1.0642591,1.0737953,1.0631939,1.0736371,1.0661477,1.0604068,1.0634636,1.0639739,1.0677882,1.0636566,1.063525,1.0403039,1.0546472,1.0470668,1.0617069,1.0713761,1.059193,1.0138261,1.0656589,1.0680102,1.0666062,1.0579112,1.0582559,1.0600322,1.0538874,1.0610036,1.0581015,1.0519341,1.0669676,1.0701559,1.0710624,1.0681202,1.0710789,1.0480345,1.0253706,1.0683912,1.0640329,1.0708299
186,187,1.072943,1.0568622,1.0734155,1.0647223,1.0833094,1.0743847,1.0529455,1.0815562,1.0786095,1.0390429,1.0616159,1.0789375,1.0742732,1.0743684,1.085703,1.0773875,1.0763036,1.0779349,1.0830315,1.0768329,1.0910931,1.0753282,1.0892642,1.0758494,1.0708449,1.0761734,1.0718445,1.0711917,1.0804904,1.0825429,1.0787538,1.079216,1.0639664,1.0801431,1.0812346,1.0806857,1.0768197,1.0720199,1.0915451,1.0846609,0.98461682,1.0523789,1.0561849,1.0351133,1.0531563,1.0724638,1.063504,1.0423689,1.0143582,,1.0769972,1.0642861,1.0731648,1.0609334,1.0637851,1.0546423,1.0634629,1.0597324,1.0704988,1.074385,1.0636715,1.0622776,1.0722344,1.0756346,1.0808228,1.069804,1.0616149,1.0801653,1.077397,1.0683652,1.0811059,1.0008256,1.0681279,1.0658648,1.0756781,1.0714691,1.0711049,1.0647403,1.0743021,1.0386107,1.0449662,1.0626029,1.021215,1.0668064,1.0609759,1.0641562,1.0736762,1.0631248,1.0735258,1.0660571,1.0603422,1.0634278,1.0638658,1.0676253,1.0634246,1.0635561,1.0400872,1.0546341,1.0470665,1.0616854,1.0713315,1.0592304,1.0135349,1.0656475,1.0680373,1.0665259,1.057899,1.0581667,1.0600867,1.0537815,1.0610605,1.0580703,1.0518295,1.066916,1.0702434,1.0709637,1.069397,1.070805,1.0480889,1.025061,1.068334,1.0639997,1.0707123
187,188,1.0719339,1.0567669,1.073527,1.0647644,1.0832417,1.0743489,1.0527596,1.0814818,1.0785203,1.0386019,1.0614693,1.0789343,1.0745752,1.0744579,1.0855981,1.0773602,1.0762596,1.0778962,1.0829774,1.0767767,1.0909525,1.0752766,1.0892045,1.0758173,1.0708369,1.0761536,1.071848,1.0709341,1.080384,1.0826628,1.0788386,1.0791024,1.0638912,1.0800934,1.0811598,1.0805169,1.0768654,1.071867,1.0914137,1.0846568,0.9841007,1.0521319,1.0559754,1.0352982,1.053009,1.072356,1.06349,1.0423278,1.0144641,,1.0770011,1.0637618,1.0730166,1.0608847,1.0636195,1.0544436,1.0637543,1.0596522,1.0699118,1.0744741,1.0637553,1.0622008,1.0721973,1.0752296,1.0809811,1.0698359,1.0614606,1.0800797,1.0772938,1.0683631,1.081059,1.0007622,1.0677049,1.0657343,1.0756691,1.0714681,1.0710478,1.0643969,1.074175,1.0388161,1.0446637,1.0623263,1.0211844,1.0669096,1.0609394,1.0640548,1.0736392,1.0630136,1.0735314,1.0659682,1.0602561,1.0633283,1.0638143,1.0676214,1.0635624,1.0634229,1.039886,1.0546556,1.0469353,1.0617114,1.0714614,1.0590715,1.0134709,1.0655955,1.0679536,1.0665131,1.0578692,1.0580791,1.06013,1.0538409,1.0608777,1.0580075,1.0517889,1.0668733,1.0700592,1.0710275,1.0693462,1.0707946,1.0479625,1.0247908,1.0682204,1.063839,1.0706085
188,189,1.0716102,1.0566835,1.0735627,1.0648475,1.0831628,1.0743285,1.0526319,1.0813758,1.0784601,1.0380758,1.0612528,1.0790019,1.0747038,1.0745374,1.0854938,1.0772841,1.076265,1.0778456,1.0829014,1.0767025,1.0909574,1.0752383,1.0891383,1.0757719,1.0708095,1.0761386,1.0707088,1.0709841,1.0803014,1.0826499,1.0789615,1.0790905,1.0638605,1.0799944,1.0810865,1.0805124,1.0768673,1.071897,1.0915008,1.0845432,0.98311371,1.0519989,1.0559183,1.03512,1.052623,1.0722122,1.0624204,1.0413275,1.0139941,,1.076901,1.0635289,1.0728698,1.0603685,1.0635791,1.0542358,1.0635505,1.0592245,1.0692536,1.0739491,1.0633444,1.0618876,1.0719006,1.074646,1.0806592,1.0697529,1.0614092,1.08014,1.0772426,1.0682068,1.0807208,1.0001056,1.0685388,1.0654436,1.0751131,1.0714128,1.071126,1.0642442,1.0742109,1.038541,1.0443853,1.0622016,1.020557,1.0666476,1.0608981,1.0640182,1.0735677,1.0628604,1.0734903,1.0658566,1.0603143,1.0633738,1.0637723,1.0676543,1.0635328,1.0633705,1.0397841,1.0545926,1.0469682,1.0617048,1.0712521,1.0589347,1.013221,1.0654235,1.0679137,1.0664593,1.0578547,1.0580049,1.0601046,1.0536054,1.060804,1.0579363,1.0517291,1.0668701,1.0700252,1.0709461,1.0692226,1.0707555,1.048041,1.02475,1.0683084,1.0638701,1.0705886
189,190,1.0724705,1.0566065,1.0735838,1.0648385,1.0832992,1.0742455,1.0522736,1.0813044,1.0784056,1.038088,1.0609087,1.0791484,1.074764,1.0742301,1.0856156,1.0772805,1.0762773,1.0778526,1.0828804,1.0766039,1.090853,1.0751467,1.0890659,1.0757595,1.0708077,1.0762618,1.0720206,1.0710012,1.0802317,1.0824929,1.0789404,1.0791212,1.0639186,1.0799385,1.0810184,1.0802116,1.0768023,1.0719954,1.0916808,1.084553,0.98310405,1.05181,1.0558356,1.0346298,1.0524019,1.0719817,1.0634552,1.0420656,1.0140001,,1.0768973,1.0636737,1.0726711,1.0606283,1.0632985,1.0542151,1.063048,1.059374,1.0693289,1.0742304,1.0637777,1.0618776,1.0720295,1.0759094,1.0809236,1.0698246,1.0611299,1.0798286,1.0771524,1.0680242,1.0808308,0.99877053,1.0684246,1.06558,1.0750974,1.0713233,1.0707505,1.0643221,1.0739673,1.0385996,1.0441614,1.0621701,1.0206506,1.0665076,1.0596042,1.0638566,1.0734867,1.0627477,1.0733523,1.0657609,1.060303,1.0633913,1.0637063,1.0676382,1.0634974,1.0633147,1.0395941,1.0545456,1.0469537,1.0616831,1.0713714,1.0589497,1.0129603,1.0653466,1.0678717,1.0662515,1.0577788,1.0580444,1.0600932,1.0536151,1.0608259,1.0577412,1.0517734,1.0667553,1.0700228,1.0708747,1.0690283,1.0709498,1.0478284,1.0244526,1.0682515,1.0637634,1.0704758
